Date,Open,High,Low,Close,Adj Close,Volume
2022-10-20,20.299999,20.709999,19.559999,20.000000,19.814835,90200
2022-10-21,20.129999,21.010000,20.100000,20.900000,20.706503,78500
2022-10-24,20.910000,20.920000,20.420000,20.580000,20.389463,40400
2022-10-25,20.730000,21.379999,20.719999,21.129999,20.934372,85300
2022-10-26,21.049999,21.350000,20.650000,20.780001,20.587614,60000
2022-10-27,20.830000,21.030001,20.260000,20.260000,20.072428,59300
2022-10-28,20.440001,20.830000,20.000000,20.709999,20.518259,44600
2022-10-31,20.440001,20.799999,20.309999,20.530001,20.339928,60300
2022-11-01,20.830000,21.080000,20.400000,20.809999,20.617332,104700
2022-11-02,20.660000,21.010000,19.900000,19.900000,19.715759,69400
2022-11-03,22.600000,24.420000,22.110001,23.629999,23.411224,472400
2022-11-04,24.950001,25.750000,23.799999,23.860001,23.639097,286700
2022-11-07,24.000000,24.330000,23.700001,23.760000,23.540024,124600
2022-11-08,24.030001,25.170000,23.780001,25.160000,24.927063,171000
2022-11-09,25.240000,26.580000,24.719999,24.809999,24.580299,427900
2022-11-10,25.459999,26.129999,24.340000,24.670000,24.441599,165800
2022-11-11,24.850000,25.440001,24.469999,24.480000,24.253355,135800
2022-11-14,24.330000,24.670000,23.750000,24.280001,24.055210,134400
2022-11-15,24.940001,25.070000,24.590000,24.610001,24.382154,124700
2022-11-16,25.080000,27.299999,24.940001,26.990000,26.740116,264500
2022-11-17,26.700001,28.430000,26.400000,28.209999,27.948824,344900
2022-11-18,29.040001,30.700001,28.830000,29.969999,29.692528,657100
2022-11-21,30.049999,30.389999,28.400000,28.700001,28.434288,324600
2022-11-22,28.680000,30.790001,28.510000,30.570000,30.286974,436900
2022-11-23,30.490000,30.820000,28.459999,28.730000,28.464010,353700
2022-11-25,28.700001,29.639999,28.500000,29.280001,29.008919,129400
2022-11-28,29.030001,29.520000,27.850000,28.180000,27.919102,255100
2022-11-29,28.180000,28.600000,26.540001,28.290001,28.028086,411500
2022-11-30,28.510000,29.110001,27.889999,29.000000,28.731508,163100
2022-12-01,29.930000,30.910000,28.809999,30.370001,30.088827,711800
2022-12-02,30.370001,32.349998,30.010000,31.540001,31.247993,396000
2022-12-05,31.520000,31.959999,30.180000,30.510000,30.227530,234400
2022-12-06,30.290001,30.799999,29.969999,30.459999,30.177990,162300
2022-12-07,30.290001,30.959999,29.549999,29.670000,29.395306,232400
2022-12-08,29.850000,31.129999,29.820000,30.469999,30.187899,223400
2022-12-09,30.219999,30.459999,29.570000,29.770000,29.494381,147900
2022-12-12,29.670000,29.980000,28.950001,29.900000,29.623177,246200
2022-12-13,30.719999,31.209999,29.980000,31.100000,30.812065,266400
2022-12-14,31.299999,32.700001,30.709999,32.000000,31.703735,505700
2022-12-15,31.850000,31.850000,29.100000,29.389999,29.117899,348900
2022-12-16,29.000000,32.139999,29.000000,31.330000,31.039938,624200
2022-12-19,30.660000,31.280001,29.709999,29.830000,29.553823,216500
2022-12-20,29.290001,30.670000,28.000000,30.150000,29.870863,315100
2022-12-21,30.420000,31.299999,30.170000,30.629999,30.346418,162700
2022-12-22,30.469999,30.469999,29.200001,29.770000,29.494381,145500
2022-12-23,29.809999,30.670000,29.799999,30.190001,29.910492,106000
2022-12-27,30.049999,31.100000,29.820000,31.040001,30.752625,137300
2022-12-28,31.040001,31.190001,29.750000,29.770000,29.494381,123800
2022-12-29,30.230000,30.930000,30.120001,30.770000,30.562117,90700
2022-12-30,30.420000,31.110001,30.010000,30.770000,30.562117,122600
2023-01-03,31.400000,32.880001,31.059999,31.170000,30.959415,344500
2023-01-04,31.299999,32.689999,30.830000,31.260000,31.048807,324400
2023-01-05,31.250000,31.990000,29.889999,29.969999,29.767521,146100
2023-01-06,30.270000,31.709999,30.059999,31.219999,31.009077,171700
2023-01-09,31.559999,31.860001,30.270000,30.790001,30.581984,322300
2023-01-10,30.760000,31.200001,30.610001,30.650000,30.442928,141900
2023-01-11,30.650000,31.820000,30.270000,31.379999,31.167997,227900
2023-01-12,31.870001,32.900002,31.500000,31.990000,31.773874,288100
2023-01-13,31.520000,32.650002,31.260000,32.220001,32.002323,208400
2023-01-17,32.230000,34.520000,32.230000,32.830002,32.608204,523800
2023-01-18,33.380001,34.639999,32.049999,32.610001,32.389687,296500
2023-01-19,32.299999,32.740002,30.410000,31.459999,31.247456,257000
2023-01-20,31.670000,32.900002,31.549999,32.869999,32.647930,255500
2023-01-23,33.000000,33.759998,32.110001,32.380001,32.161243,193600
2023-01-24,32.200001,33.220001,32.090000,32.810001,32.588337,92300
2023-01-25,32.650002,32.650002,31.290001,32.060001,31.843405,165100
2023-01-26,32.270000,33.430000,31.900000,33.299999,33.075024,155800
2023-01-27,33.799999,35.500000,33.459999,33.759998,33.531918,526600
2023-01-30,33.799999,35.250000,33.310001,33.450001,33.224010,286300
2023-01-31,33.730000,34.680000,33.209999,34.240002,34.008678,198900
2023-02-01,34.250000,35.730000,34.230000,35.410000,35.170769,210000
2023-02-02,35.599998,36.480000,34.639999,35.290001,35.051582,308100
2023-02-03,34.509998,35.849998,34.509998,35.169998,34.932392,124300
2023-02-06,35.430000,36.099998,35.230000,35.320000,35.081379,162600
2023-02-07,35.160000,35.470001,34.500000,35.250000,35.011852,257400
2023-02-08,35.110001,35.349998,34.580002,34.810001,34.574821,219000
2023-02-09,34.900002,35.560001,34.540001,34.869999,34.634418,107300
2023-02-10,34.709999,34.709999,33.320000,33.730000,33.502117,205900
2023-02-13,33.730000,35.259998,33.730000,34.779999,34.545025,148200
2023-02-14,34.669998,35.770000,34.459999,35.470001,35.230366,184800
2023-02-15,35.250000,36.040001,34.750000,35.930000,35.687256,128700
2023-02-16,35.560001,36.419998,35.209999,35.880001,35.637592,182500
2023-02-17,35.880001,35.880001,35.259998,35.330002,35.091312,84800
2023-02-21,34.770000,35.279999,34.169998,34.360001,34.127861,335700
2023-02-22,34.590000,35.099998,34.320000,34.430000,34.197388,158900
2023-02-23,34.549999,35.189999,34.549999,34.750000,34.515228,184900
2023-02-24,34.299999,34.990002,34.000000,34.730000,34.495361,134800
2023-02-27,34.950001,36.040001,34.950001,35.779999,35.538269,233800
2023-02-28,36.009998,37.900002,36.009998,36.709999,36.461983,550800
2023-03-01,37.000000,37.889999,36.320000,36.349998,36.104420,310100
2023-03-02,37.009998,41.500000,37.009998,39.930000,39.660233,1294200
2023-03-03,41.090000,42.750000,40.320000,42.560001,42.272469,643900
2023-03-06,42.590000,42.900002,40.119999,41.680000,41.398411,389600
2023-03-07,42.119999,42.400002,41.180000,41.689999,41.408340,376900
2023-03-08,41.759998,43.099998,40.590000,42.259998,41.974491,369900
2023-03-09,42.259998,43.840000,41.820000,41.990002,41.706314,230900
2023-03-10,42.849998,42.849998,38.389999,39.459999,39.193405,516000
2023-03-13,38.750000,40.000000,37.959999,39.669998,39.401989,335100
2023-03-14,40.220001,40.660000,39.029999,39.480000,39.213272,411800
2023-03-15,38.700001,39.560001,37.080002,37.730000,37.475098,431000
2023-03-16,37.400002,39.689999,37.330002,39.450001,39.183475,333900
2023-03-17,38.560001,39.130001,36.750000,36.959999,36.710297,340300
2023-03-20,37.400002,38.439999,37.400002,38.439999,38.180298,254200
2023-03-21,39.209999,39.740002,38.340000,38.400002,38.140572,183700
2023-03-22,38.450001,38.939999,37.349998,37.570000,37.316177,243700
2023-03-23,37.869999,38.730000,37.349998,37.820000,37.564487,288800
2023-03-24,37.619999,38.049999,36.009998,38.040001,37.783001,327800
2023-03-27,38.570000,38.820000,36.959999,38.660000,38.398815,478600
